"Wavelength (nm)", "Reflectance (%)"
636.3, 18.8566
637.02, 19.1715
637.74, 19.4867
638.45, 19.8408
639.17, 20.2114
639.88, 20.573
640.6, 20.9222
641.31, 21.2398
642.03, 21.567
642.74, 21.8974
643.46, 22.1855
644.17, 22.4509
644.89, 22.7384
645.6, 23.0321
646.32, 23.3184
647.03, 23.6331
647.75, 23.9792
648.46, 24.3057
649.18, 24.6213
649.89, 24.9292
650.61, 25.2346
651.32, 25.525
652.03, 25.7916
652.75, 26.0159
653.46, 26.2195
654.18, 26.4065
654.89, 26.5884
655.6, 26.7702
656.32, 26.952
657.03, 27.1337
657.74, 27.3154
658.46, 27.4994
659.17, 27.7543
659.89, 28.0959
660.6, 28.4262
661.31, 28.7878
662.02, 29.1467
662.74, 29.4366
663.45, 29.6346
664.16, 29.853
664.88, 30.0631
665.59, 30.2661
666.3, 30.4924
667.01, 30.7152
667.73, 30.8983
668.44, 31.0695
669.15, 31.2248
669.86, 31.3454
670.58, 31.4944
671.29, 31.6518
672, 31.8081
672.71, 31.966
673.42, 32.1308
674.14, 32.265
674.85, 32.3828
675.56, 32.5257
676.27, 32.6802
676.98, 32.8233
677.69, 32.9579
678.41, 33.1062
679.12, 33.2279
679.83, 33.3337
680.54, 33.4547
681.25, 33.5647
681.96, 33.6747
682.67, 33.7979
683.38, 33.8725
684.09, 33.9257
684.8, 33.9803
685.52, 34.058
686.23, 34.1213
686.94, 34.198
687.65, 34.2864
688.36, 34.3856
689.07, 34.4616
689.78, 34.521
690.49, 34.5898
691.2, 34.6431
691.91, 34.6742
692.62, 34.7021
693.33, 34.7498
694.04, 34.7719
694.75, 34.7955
695.46, 34.8227
696.17, 34.8507
696.87, 34.8732
697.58, 34.8987
698.29, 34.9144
699, 34.9168
699.71, 34.931
700.42, 34.9456
701.13, 34.9437
701.84, 34.9149
702.55, 34.9035
703.26, 34.9056
703.96, 34.9116
704.67, 34.8958
705.38, 34.8698
706.09, 34.8387
706.8, 34.7872
707.51, 34.7196
708.22, 34.6574
708.92, 34.6164
709.63, 34.596
710.34, 34.5725
711.05, 34.5491
711.75, 34.4926
712.46, 34.4164
713.17, 34.3292
713.88, 34.2303
714.59, 34.1382
715.29, 34.0595
716, 34.0101
716.71, 33.9533
717.41, 33.8739
718.12, 33.7956
718.83, 33.7158
719.54, 33.6224
720.24, 33.5139
720.95, 33.4127
721.66, 33.3391
722.36, 33.2627
723.07, 33.1786
723.78, 33.0965
724.48, 33.0005
725.19, 32.8919
725.9, 32.7792
726.6, 32.6556
727.31, 32.5182
728.01, 32.3551
728.72, 32.1944
729.43, 32.0452
730.13, 31.8857
730.84, 31.7192
731.54, 31.5656
732.25, 31.4175
732.95, 31.2805
733.66, 31.15
734.36, 31.0228
735.07, 30.8888
735.78, 30.7441
736.48, 30.6069
737.19, 30.4846
737.89, 30.3447
738.6, 30.1761
739.3, 30.0004
740, 29.8303
740.71, 29.6732
741.41, 29.4891
742.12, 29.3096
742.82, 29.1337
743.53, 28.9756
744.23, 28.8042
744.94, 28.6234
745.64, 28.4406
746.34, 28.2731
747.05, 28.0891
747.75, 27.9044
748.46, 27.717
749.16, 27.5211
749.86, 27.32
750.57, 27.1162
751.27, 26.9036
751.97, 26.6949
752.68, 26.5011
753.38, 26.2975
754.08, 26.1033
754.79, 25.9102
755.49, 25.7006
756.19, 25.4909
756.9, 25.274
757.6, 25.05
758.3, 24.8419
759, 24.6147
759.71, 24.4038
760.41, 24.2073
761.11, 24.0127
761.81, 23.83
762.52, 23.6348
763.22, 23.4343
763.92, 23.2623
764.62, 23.0638
765.33, 22.8713
766.03, 22.6497
766.73, 22.4221
767.43, 22.1925
768.13, 21.9618
768.83, 21.7388
769.54, 21.5093
770.24, 21.2694
770.94, 21.0761
771.64, 20.8629
772.34, 20.6679
773.04, 20.4846
773.74, 20.2907
774.45, 20.0874
775.15, 19.8766
775.85, 19.6661
776.55, 19.4612
777.25, 19.2425
777.95, 19.0115
778.65, 18.7831
779.35, 18.5763
780.05, 18.3726
780.75, 18.1509
781.45, 17.9236
782.15, 17.7087
782.85, 17.5064
783.55, 17.2914
784.25, 17.0655
784.95, 16.8556
785.65, 16.6379
786.35, 16.4378
787.05, 16.248
787.75, 16.042
788.45, 15.8319
789.15, 15.6337
789.85, 15.4196
790.55, 15.224
791.25, 15.0257
791.95, 14.8125
792.65, 14.6037
793.34, 14.4153
794.04, 14.2244
794.74, 14.0392
795.44, 13.8569
796.14, 13.6787
796.84, 13.5041
797.54, 13.3331
798.24, 13.1537
798.93, 12.9725
799.63, 12.7963
800.33, 12.6257
801.03, 12.4536
801.73, 12.2852
802.42, 12.1159
803.12, 11.9487
803.82, 11.7925
804.52, 11.6365
805.22, 11.4789
805.91, 11.3141
806.61, 11.1539
807.31, 11.0006
808.01, 10.8613
808.7, 10.7199
809.4, 10.5763
810.1, 10.4391
810.79, 10.3141
811.49, 10.1886
812.19, 10.064
812.89, 9.9355
813.58, 9.8052
814.28, 9.6795
814.98, 9.5639
815.67, 9.4473
816.37, 9.3351
817.06, 9.2287
817.76, 9.119
818.46, 9.0101
819.15, 8.9022
819.85, 8.8028
820.55, 8.7053
821.24, 8.6095
821.94, 8.5199
822.63, 8.4322
823.33, 8.3519
824.02, 8.273
824.72, 8.1978
825.42, 8.1259
826.11, 8.0537
826.81, 7.9846
827.5, 7.9144
828.2, 7.8446
828.89, 7.7798
829.59, 7.7204
830.28, 7.6691
830.98, 7.6191
831.67, 7.5687
832.37, 7.5368
833.06, 7.5086
833.76, 7.4806
834.45, 7.4611
835.14, 7.4444
835.84, 7.4346
836.53, 7.4165
837.23, 7.4002
837.92, 7.389
838.62, 7.3606
839.31, 7.3421
840, 7.3317
840.7, 7.3232
841.39, 7.3104
842.08, 7.3063
842.78, 7.3095
843.47, 7.3073
844.16, 7.3141
844.86, 7.3366
845.55, 7.3526
846.24, 7.3742
846.94, 7.387
847.63, 7.4141
848.32, 7.4412
849.02, 7.4805
849.71, 7.5182
850.4, 7.5626
851.09, 7.6004
851.79, 7.6477
852.48, 7.6917
853.17, 7.7437
853.86, 7.7869
854.56, 7.847
855.25, 7.8946
855.94, 7.9586
856.63, 8.0055
857.33, 8.0769
858.02, 8.1288
858.71, 8.2032
859.4, 8.2881
860.09, 8.3685
860.78, 8.4304
861.48, 8.5173
862.17, 8.5914
862.86, 8.6865
863.55, 8.7642
864.24, 8.8651
864.93, 8.9423
865.62, 9.0136
866.31, 9.1087
867.01, 9.214
867.7, 9.3092
868.39, 9.4022
869.08, 9.4969
869.77, 9.5965
870.46, 9.6966
871.15, 9.7976
871.84, 9.9181
872.53, 10.0308
873.22, 10.1392
873.91, 10.2515
874.6, 10.3541
875.29, 10.4611
875.98, 10.567
876.67, 10.6801
877.36, 10.7997
878.05, 10.9024
878.74, 11.0177
879.43, 11.139
880.12, 11.2569
880.81, 11.3891
881.5, 11.5245
882.19, 11.6518
882.88, 11.7681
883.56, 11.8967
884.25, 12.0409
884.94, 12.1702
885.63, 12.2904
886.32, 12.4266
887.01, 12.5651
887.7, 12.7031
888.39, 12.8491
889.07, 13.0107
889.76, 13.1567
890.45, 13.2935
891.14, 13.4384
891.83, 13.5915
892.52, 13.7348
893.2, 13.8724
893.89, 14.0115
894.58, 14.1559
895.27, 14.2979
895.96, 14.4312
896.64, 14.5632
897.33, 14.698
898.02, 14.8268
898.71, 14.9532
899.39, 15.0857
900.08, 15.232
900.77, 15.3805
901.45, 15.5202
902.14, 15.6561
902.83, 15.8042
903.52, 15.9585
904.2, 16.1105
904.89, 16.2588
905.58, 16.4139
906.26, 16.5749
906.95, 16.7227
907.64, 16.8636
908.32, 17.0177
909.01, 17.1712
909.69, 17.3152
910.38, 17.4538
911.07, 17.59
911.75, 17.7316
912.44, 17.8745
913.12, 18.0034
913.81, 18.125
914.5, 18.256
915.18, 18.3818
915.87, 18.5041
916.55, 18.6252
917.24, 18.7494
917.92, 18.878
918.61, 19.019
919.29, 19.1572
919.98, 19.2943
920.66, 19.439
921.35, 19.5954
922.03, 19.7421
922.72, 19.8879
923.4, 20.05
924.09, 20.2158
924.77, 20.3791
925.46, 20.5273
926.14, 20.6517
926.82, 20.7867
927.51, 20.9269
928.19, 21.0702
928.88, 21.1892
929.56, 21.3185
930.25, 21.4415
930.93, 21.5668
931.61, 21.694
932.3, 21.8183
932.98, 21.9445
933.66, 22.0873
934.35, 22.1962
935.03, 22.3102
935.71, 22.4229
936.4, 22.5662
937.08, 22.698
937.76, 22.8268
938.45, 22.9448
939.13, 23.0637
939.81, 23.2136
940.49, 23.3616
941.18, 23.495
941.86, 23.6525
942.54, 23.7757
943.23, 23.9049
943.91, 24.0147
944.59, 24.1505
945.27, 24.3
945.95, 24.4111
946.64, 24.5488
947.32, 24.6406
948, 24.744
948.68, 24.8593
949.36, 24.9596
950.05, 25.0899
950.73, 25.1982
951.41, 25.3032
952.09, 25.3782
952.77, 25.4443
953.45, 25.561
954.13, 25.647
954.82, 25.7496
955.5, 25.8406
956.18, 25.9263
956.86, 26.0206
957.54, 26.1238
958.22, 26.2474
958.9, 26.3704
959.58, 26.4961
960.26, 26.612
960.94, 26.7101
961.62, 26.813
962.3, 26.9186
962.98, 27.0285
963.66, 27.1378
964.34, 27.2465
965.02, 27.347
965.7, 27.4319
966.38, 27.4963
967.06, 27.5769
967.74, 27.6639
968.42, 27.7504
